Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Martjushev ADWIN J,Ostovar,Nested_IRO_output_IRO,,,300,600,10,0.4,,,,,,"[891, 1877]","[999, 1999]",1,115,0:12:53,773,
Martjushev ADWIN WC,Ostovar,Nested_IRO_output_IRO,,,300,600,10,0.4,,,,,,[],"[999, 1999]",,,0:07:55,475,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_cb,,,300,600,,0.05,,,,,,[540],[499],1,41,0:00:00,0,
Process Graph Metrics,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,,,300,400,,0.005,,,,,,[1034],"[999, 1999]",0.666666667,35,0:01:47,107,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_re,,,300,700,50,0.4,,,,,,[349],[499],1,150,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_re,,,300,700,50,0.4,,,,,,[],[499],,,0:00:03,3,
Martjushev ADWIN J,Ostovar,Atomic_Loop_output_Loop_5,,,100,400,10,0.4,,,,,,"[909, 1975]","[999, 1999]",1,57,0:08:13,493,
Martjushev ADWIN WC,Ostovar,Atomic_Loop_output_Loop_5,,,100,400,10,0.4,,,,,,[],"[999, 1999]",,,0:06:16,376,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,,,300,400,,0.05,,,,,,[],[499],,,0:00:00,0,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,,,200,700,50,0.4,,,,,,"[899, 2025]","[999, 1999]",1,63,0:06:36,396,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,,,200,700,50,0.4,,,,,,[],"[999, 1999]",,,0:03:15,195,
Martjushev ADWIN J,Ostovar,Composite_IRO_output_IRO,,,100,700,20,0.4,,,,,,"[941, 1946]","[999, 1999]",1,55.5,0:08:18,498,
Martjushev ADWIN WC,Ostovar,Composite_IRO_output_IRO,,,100,700,20,0.4,,,,,,[],"[999, 1999]",,,0:05:14,314,
Process Graph Metrics,Ostovar,Composite_RIO_output_RIO_2,,,400,600,,0.005,,,,,,"[1070, 2069]","[999, 1999]",1,70.5,0:02:58,178,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_2,,,200,700,20,0.4,,,,,,"[659, 1760]","[999, 1999]",,,0:12:12,732,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_2,,,200,700,20,0.4,,,,,,[],"[999, 1999]",,,0:08:41,521,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IOR,,,100,400,,0.05,,,,,,[640],[499],1,141,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IRO,,,300,500,,0.05,,,,,,[505],[499],1,6,0:00:02,2,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR_2,,,100,600,20,0.4,,,,,,"[979, 1995]","[999, 1999]",1,12,0:09:11,551,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR_2,,,100,600,20,0.4,,,,,,[],"[999, 1999]",,,0:06:02,362,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IOR,,,200,600,,0.05,,,,,,[750],[499],,,0:00:00,0,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,,,200,700,50,0.4,,,,,,[599],"[999, 1999]",,,0:08:35,515,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_5,,,200,700,50,0.4,,,,,,[],"[999, 1999]",,,0:04:34,274,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_5,,,400,600,,0.0001,,,,,,[1030],"[999, 1999]",0.666666667,31,0:00:35,35,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_IRO,,,300,600,20,0.4,,,,,,"[399, 899]",[499],0.666666667,100,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_IRO,,,300,600,20,0.4,,,,,,[],[499],,,0:00:06,6,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_2,,,200,700,,0.1,,,,,,"[1054, 2061]","[999, 1999]",1,58.5,0:02:22,142,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cp,,,400,600,,0.0001,,,,,,[],[499],,,0:00:35,35,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IRO,,,200,600,,0.005,,,,,,[519],[499],1,20,0:00:00,0,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_2,,,100,500,,0.05,,,,,,"[988, 2062]","[999, 1999]",1,37,0:00:35,35,
Process Graph Metrics,Ostovar,Composite_OIR_output_OIR_5,,,200,400,,0.1,,,,,,"[1020, 2171]","[999, 1999]",1,96.5,0:00:33,33,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_5,,,100,400,,0.0001,,,,,,"[980, 1996]","[999, 1999]",1,11,0:00:16,16,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_IOR,,,200,700,,0.0001,,,,,,[750],[499],,,0:00:00,0,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO,,,400,700,,0.0001,,,,,,"[1054, 2119]","[999, 1999]",1,87.5,0:01:09,69,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_5,,,200,500,,0.1,,,,,,"[919, 2059]","[999, 1999]",1,70,0:00:27,27,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_IRO,,,100,700,50,0.4,,,,,,[399],[499],1,100,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_IRO,,,100,700,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_2,,,200,500,,0.0001,,,,,,"[955, 2003]","[999, 1999]",1,24,0:00:48,48,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cp,,,400,700,50,0.4,,,,,,[399],[499],1,100,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cp,,,400,700,50,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_lp,,,300,500,,0.05,,,,,,[477],[499],1,22,0:00:02,2,
Martjushev ADWIN J,Ostovar,Nested_ORI_output_ORI_5,,,100,600,10,0.4,,,,,,"[926, 1952]","[999, 1999]",1,60,0:14:20,860,
Martjushev ADWIN WC,Ostovar,Nested_ORI_output_ORI_5,,,100,600,10,0.4,,,,,,[],"[999, 1999]",,,0:09:28,568,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_re,,,400,600,50,0.4,,,,,,[399],[499],1,100,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_re,,,400,600,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_lp,,,100,700,10,0.4,,,,,,[359],[499],1,140,0:00:12,12,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_lp,,,100,700,10,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_re,,,100,500,20,0.4,,,,,,[319],[499],1,180,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_re,,,100,500,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO,,,200,600,,0.0001,,,,,,"[1044, 1987]","[999, 1999]",1,28.5,0:00:30,30,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_2,,,400,600,50,0.4,,,,,,"[949, 1800]","[999, 1999]",1,124.5,0:13:37,817,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_2,,,400,600,50,0.4,,,,,,[],"[999, 1999]",,,0:07:11,431,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IRO,,,200,600,,0.0001,,,,,,[549],[499],1,50,0:00:01,1,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove,,,100,700,,0.1,,,,,,[],"[999, 1999]",,,0:00:17,17,
Process Graph Metrics,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,,,200,600,,0.1,,,,,,[],"[999, 1999]",,,0:00:15,15,
Martjushev ADWIN J,Ostovar,Composite_RIO_output_RIO_5,,,300,600,20,0.4,,,,,,"[979, 1960]","[999, 1999]",1,29.5,0:10:10,610,
Martjushev ADWIN WC,Ostovar,Composite_RIO_output_RIO_5,,,300,600,20,0.4,,,,,,[],"[999, 1999]",,,0:06:20,380,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_5,,,400,700,,0.005,,,,,,"[1018, 1882]","[999, 1999]",1,68,0:01:57,117,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cp,,,300,600,,0.0001,,,,,,[],[499],,,0:00:26,26,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,200,500,50,0.4,,,,,,[],"[999, 1999]",,,0:10:17,617,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,200,500,50,0.4,,,,,,[],"[999, 1999]",,,0:05:22,322,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_IOR,,,400,600,20,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_IOR,,,400,600,20,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI_2,,,200,400,,0.0001,,,,,,"[982, 2130]","[999, 1999]",1,74,0:00:15,15,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_re,,,400,600,50,0.4,,,,,,[399],[499],1,100,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_re,,,400,600,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cf,,,200,500,50,0.4,,,,,,[349],[499],1,150,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cf,,,200,500,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,,,300,700,,0.005,,,,,,[525],[499],1,26,0:00:02,2,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_sw,,,400,500,20,0.4,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_sw,,,400,500,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Composite_IRO_output_IRO_2,,,400,400,,0.0001,,,,,,"[1001, 2149]","[999, 1999]",1,76,0:00:30,30,
Process Graph Metrics,Ostovar,Nested_ROI_output_ROI_5,,,400,400,,0.1,,,,,,"[1040, 2080]","[999, 1999]",1,61,0:00:32,32,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_cf,,,400,600,10,0.4,,,,,,[599],[499],1,100,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_cf,,,400,600,10,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IOR,,,200,500,10,0.4,,,,,,[],[499],,,0:00:11,11,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IOR,,,200,500,10,0.4,,,,,,[],[499],,,0:00:07,7,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_OIR,,,300,400,,0.0001,,,,,,[551],[499],1,52,0:00:08,8,
Martjushev ADWIN J,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,300,500,10,0.4,,,,,,"[869, 1690]","[999, 1999]",0.5,130,0:11:14,674,
Martjushev ADWIN WC,Ostovar,Atomic_ConditionalMove_output_ConditionalMove_2,,,300,500,10,0.4,,,,,,[],"[999, 1999]",,,0:07:19,439,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_pl,,,100,500,50,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_pl,,,100,500,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR,,,200,500,50,0.4,,,,,,"[936, 1937]","[999, 1999]",1,62.5,0:11:33,693,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR,,,200,500,50,0.4,,,,,,[],"[999, 1999]",,,0:05:34,334,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,,,400,500,,0.1,,,,,,[600],[499],1,101,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cf,,,400,700,,0.1,,,,,,[633],[499],1,134,0:00:02,2,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cb,,,400,500,,0.1,,,,,,[600],[499],1,101,0:00:00,0,
Martjushev ADWIN J,Ostovar,Composite_ORI_output_ORI,,,200,400,10,0.4,,,,,,"[769, 1890]","[999, 1999]",0.5,109,0:10:13,613,
Martjushev ADWIN WC,Ostovar,Composite_ORI_output_ORI,,,200,400,10,0.4,,,,,,[],"[999, 1999]",,,0:06:02,362,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_RIO,,,200,700,,0.005,,,,,,[638],[499],1,139,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cb,,,300,400,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cb,,,300,400,10,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cp,,,300,500,10,0.4,,,,,,[449],[499],1,50,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cp,,,300,500,10,0.4,,,,,,[],[499],,,0:00:03,3,
Martjushev ADWIN J,Ostovar,Atomic_Substitute_output_Substitute_2,,,100,700,20,0.4,,,,,,"[899, 1740]","[999, 1999]",0.5,100,0:09:10,550,
Martjushev ADWIN WC,Ostovar,Atomic_Substitute_output_Substitute_2,,,100,700,20,0.4,,,,,,[],"[999, 1999]",,,0:05:21,321,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_IRO,,,400,700,,0.0001,,,,,,[600],[499],1,101,0:00:00,0,
Martjushev ADWIN J,Ostovar,Composite_OIR_output_OIR,,,400,700,10,0.4,,,,,,"[926, 1960]","[999, 1999]",1,56,0:06:51,411,
Martjushev ADWIN WC,Ostovar,Composite_OIR_output_OIR,,,400,700,10,0.4,,,,,,[],"[999, 1999]",,,0:05:06,306,
Martjushev ADWIN J,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,,,300,400,10,0.4,,,,,,"[894, 1810]","[999, 1999]",1,147,0:06:56,416,
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,,,300,400,10,0.4,,,,,,[],"[999, 1999]",,,0:03:59,239,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_lp,,,100,700,,0.05,,,,,,[474],[499],1,25,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cb,,,300,600,10,0.4,,,,,,[409],[499],1,90,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cb,,,300,600,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_5,,,200,700,,0.005,,,,,,"[1015, 1915]","[999, 1999]",1,50,0:01:15,75,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency_5,,,200,700,,0.05,,,,,,"[986, 2076]","[999, 1999]",1,45,0:00:53,53,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_re,,,300,500,,0.1,,,,,,[524],[499],1,25,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cp,,,100,600,10,0.4,,,,,,[279],[499],,,0:00:11,11,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cp,,,100,600,10,0.4,,,,,,[],[499],,,0:00:07,7,
Martjushev ADWIN J,Ostovar,Nested_IRO_output_IRO_2,,,200,600,20,0.4,,,,,,"[944, 1955]","[999, 1999]",1,49.5,0:16:17,977,
Martjushev ADWIN WC,Ostovar,Nested_IRO_output_IRO_2,,,200,600,20,0.4,,,,,,[],"[999, 1999]",,,0:09:32,572,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_sw,,,200,700,20,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_sw,,,200,700,20,0.4,,,,,,[],[499],,,0:00:05,5,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pm,,,100,700,,0.1,,,,,,[678],[499],1,179,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cb,,,300,500,,0.05,,,,,,[540],[499],1,41,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cd,,,400,600,,0.05,,,,,,[],[499],,,0:00:00,0,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove,,,400,700,,0.005,,,,,,[],"[999, 1999]",,,0:00:13,13,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_5,,,400,600,,0.005,,,,,,"[1027, 2044]","[999, 1999]",1,36.5,0:00:43,43,
Martjushev ADWIN J,Ostovar,Composite_ORI_output_ORI_2,,,200,500,10,0.4,,,,,,[889],"[999, 1999]",0.666666667,110,0:12:57,777,
Martjushev ADWIN WC,Ostovar,Composite_ORI_output_ORI_2,,,200,500,10,0.4,,,,,,[],"[999, 1999]",,,0:08:58,538,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cp,,,400,700,,0.1,,,,,,[603],[499],1,104,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cf,,,400,500,,0.0001,,,,,,[],[499],,,0:00:38,38,
Martjushev ADWIN J,Ostovar,Atomic_SerialMove_output_SerialMove,,,300,600,50,0.4,,,,,,[],"[999, 1999]",,,0:08:13,493,
Martjushev ADWIN WC,Ostovar,Atomic_SerialMove_output_SerialMove,,,300,600,50,0.4,,,,,,[],"[999, 1999]",,,0:04:40,280,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_2,,,300,400,,0.1,,,,,,"[959, 1997, 3056]","[999, 1999]",0.8,21,0:01:06,66,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_re,,,300,400,50,0.4,,,,,,[349],[499],1,150,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_re,,,300,400,50,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ostovar,Nested_RIO_output_RIO_5,,,400,700,,0.0001,,,,,,"[1137, 2175]","[999, 1999]",1,157,0:01:22,82,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR_5,,,100,400,,0.1,,,,,,"[1042, 1937]","[999, 1999]",1,52.5,0:01:00,60,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_cp,,,300,400,20,0.4,,,,,,[449],[499],1,50,0:00:05,5,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_cp,,,300,400,20,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_pm,,,300,400,,0.005,,,,,,[1060],[499],,,0:00:00,0,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,,,200,600,,0.005,,,,,,"[983, 1984]","[999, 1999]",1,15.5,0:02:38,158,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_2,,,200,500,10,0.4,,,,,,"[899, 1960]","[999, 1999]",1,69.5,0:13:07,787,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_2,,,200,500,10,0.4,,,,,,[],"[999, 1999]",,,0:08:53,533,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_rp,,,300,400,,0.0001,,,,,,[602],[499],1,103,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pm,,,100,600,,0.05,,,,,,[918],[499],,,0:00:24,24,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cp,,,300,600,,0.05,,,,,,[540],[499],1,41,0:00:00,0,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pm,,,100,600,,0.1,,,,,,"[285, 862]",[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_IOR,,,100,700,,0.05,,,,,,[654],[499],1,155,0:00:01,1,
Martjushev ADWIN J,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence,,,200,700,10,0.4,,,,,,[],"[999, 1999]",,,0:09:00,540,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence,,,200,700,10,0.4,,,,,,[],"[999, 1999]",,,0:04:29,269,
Martjushev ADWIN J,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,,,400,600,10,0.4,,,,,,[],"[999, 1999]",,,0:12:50,770,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelMove_output_ParallelMove_2,,,400,600,10,0.4,,,,,,[],"[999, 1999]",,,0:08:17,497,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_IOR,,,200,500,20,0.4,,,,,,[],[499],,,0:00:11,11,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_IOR,,,200,500,20,0.4,,,,,,[],[499],,,0:00:06,6,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_2,,,100,500,,0.005,,,,,,"[1019, 2167]","[999, 1999]",1,94,0:00:16,16,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence,,,400,700,,0.05,,,,,,[],"[999, 1999]",,,0:00:19,19,
Process Graph Metrics,Ostovar,Nested_OIR_output_OIR_2,,,400,700,,0.005,,,,,,"[1200, 2238]","[999, 1999]",,,0:01:29,89,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_RIO,,,200,500,,0.05,,,,,,[628],[499],1,129,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_RIO,,,300,600,20,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_RIO,,,300,600,20,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_pl,,,200,400,,0.0001,,,,,,[],[499],,,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IOR,,,100,700,20,0.4,,,,,,[],[499],,,0:00:11,11,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IOR,,,100,700,20,0.4,,,,,,[],[499],,,0:00:06,6,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_5,,,200,400,,0.0001,,,,,,"[969, 1987]","[999, 1999]",1,21,0:01:42,102,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_ROI,,,300,400,10,0.4,,,,,,[349],[499],1,150,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_ROI,,,300,400,10,0.4,,,,,,[],[499],,,0:00:06,6,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise20_1000_rp,,,300,400,10,0.4,,,,,,[],[499],,,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise20_1000_rp,,,300,400,10,0.4,,,,,,[],[499],,,0:00:04,4,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_cb,,,200,400,,0.005,,,,,,[],[499],,,0:00:01,1,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_cb,,,300,600,10,0.4,,,,,,[449],[499],1,50,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_cb,,,300,600,10,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise5_1000_cf,,,400,400,50,0.4,,,,,,[599],[499],1,100,0:00:07,7,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise5_1000_cf,,,400,400,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_OIR,,,100,700,50,0.4,,,,,,[449],[499],1,50,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_OIR,,,100,700,50,0.4,,,,,,[],[499],,,0:00:05,5,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_OIR,,,400,700,50,0.4,,,,,,[399],[499],1,100,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_OIR,,,400,700,50,0.4,,,,,,[],[499],,,0:00:06,6,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_5,,,400,600,,0.05,,,,,,"[997, 2052]","[999, 1999]",1,27.5,0:01:25,85,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_OIR,,,200,500,50,0.4,,,,,,[449],[499],1,50,0:00:09,9,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_OIR,,,200,500,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IRO,,,400,700,50,0.4,,,,,,[399],[499],1,100,0:00:10,10,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IRO,,,400,700,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise10_1000_sw,,,300,400,20,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise10_1000_sw,,,300,400,20,0.4,,,,,,[],[499],,,0:00:03,3,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove,,,300,400,,0.0001,,,,,,[],"[999, 1999]",,,0:00:15,15,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency_5,,,300,400,,0.1,,,,,,"[971, 2119]","[999, 1999]",1,74,0:00:33,33,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_IOR,,,300,600,50,0.4,,,,,,[],[499],,,0:00:08,8,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_IOR,,,300,600,50,0.4,,,,,,[],[499],,,0:00:04,4,
Martjushev ADWIN J,Ostovar,Composite_ROI_output_ROI_2,,,400,600,20,0.4,,,,,,"[579, 1980]","[999, 1999]",0.5,19,0:09:54,594,
Martjushev ADWIN WC,Ostovar,Composite_ROI_output_ROI_2,,,400,600,20,0.4,,,,,,[],"[999, 1999]",,,0:06:10,370,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove_2,,,100,600,,0.05,,,,,,[],"[999, 1999]",,,0:00:20,20,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop_5,,,200,400,,0.0001,,,,,,[1028],"[999, 1999]",0.666666667,29,0:01:38,98,
Process Graph Metrics,Ostovar,Nested_IRO_output_IRO_2,,,200,700,,0.005,,,,,,"[1011, 1994]","[999, 1999]",1,8.5,0:01:58,118,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval_5,,,100,400,,0.0001,,,,,,[],"[999, 1999]",,,0:01:22,82,
